Biathlon,Biathlon Men's 15 kilometres Mass Start
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon
Cycling,Cycling Men's 1/4 mile
Cycling,Cycling Men's 1/2 mile
Cycling,Cycling Men's 5 mile
Cycling,Cycling Men's 25 mile
Shooting,"Shooting Men's Small-Bore Rifle, Standing, 50 metres"
Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team"
Speed Skating,Speed Skating Men's Team Pursuit (8 laps)
Shooting,"Shooting Men's Free Rifle, 1,000 Yards"
Cycling,Cycling Women's Team Pursuit
Speed Skating,"Speed Skating Women's 5,000 metres"
Athletics,"Athletics Men's 3,000 metres Walk"
Snowboarding,Snowboarding Women's Boardercross
